Time Taken (ms),CPU Usage (%),Dirty Memory (bytes),Container Size (bytes)
0,6.8,42856,1632790227
328.06873321533203,17.0,44377583,1677167810
231.13203048706055,8.3,167167980,1844335790
333.70351791381836,0.4,2,1844335792
228.12128067016602,9.6,6164,1844341956
333.06264877319336,0.6,2,1844341958
229.03943061828613,8.8,1526,1844343484
230.35526275634766,3.8,2,1844343486
334.3939781188965,8.4,19055794,1825287692
327.3053169250488,2.5,252816,1825540508
130.10191917419434,8.9,3674364,1829214872
331.42924308776855,8.7,155796,1829370668
329.9999237060547,9.3,47958590,1877329258
131.77824020385742,7.5,6845872,1884175130
